target,accuracy,precision_macro,recall_macro,f1_macro,unique_actual_values
tar_183,0.6591133004926109,0.6516103514984589,0.6462861459124272,0.6473995983935743,2
tar_184,0.6059113300492611,0.5861581920903955,0.5730783975464826,0.5690094435763299,2
tar_185,0.7270935960591133,0.6459811107608239,0.6070620026589083,0.6148144799231697,2
tar_186,0.9901477832512315,0.49507389162561577,0.5,0.4975247524752475,2
tar_188,0.9950738916256158,0.4975369458128079,0.5,0.49876543209876545,2
tar_190,0.8334975369458129,0.6230450866205179,0.5501402943195726,0.5567811565780668,2
tar_0,0.787192118226601,0.3762398306029198,0.34053750853575265,0.3148172213230632,3
tar_1,0.5596059113300492,0.45813030255905174,0.3788938250083486,0.3627163798432256,3
tar_2,0.9428571428571428,0.44851485148514847,0.3467822456204048,0.34965327594452417,3
tar_3,0.9251231527093596,0.47560171447411803,0.34373065547836856,0.34070826271955057,3
tar_4,0.9359605911330049,0.3135313531353135,0.33158813263525305,0.32230703986429177,3
tar_5,0.9251231527093596,0.44929101584136477,0.3606156064976469,0.3693213911078835,3
tar_6,0.9408866995073891,0.31455862977602106,0.3322894919972164,0.32318104906937395,3
tar_71,0.316256157635468,0.24861855910522315,0.25285380948277325,0.24471492512933,5
tar_72,0.4600985221674877,0.33715396738066156,0.3171974102467112,0.30755545038091264,5
tar_73,0.6532019704433497,0.2241256023628167,0.23348136836970584,0.21612722048066874,5
tar_74,0.46502463054187193,0.312883348608088,0.3090594071516678,0.3043998333234653,5
tar_75,0.30738916256157633,0.281597291763216,0.2484651614393385,0.2511579851877979,5
tar_76,0.516256157635468,0.44472751563617663,0.4193617505527377,0.4161966213636162,5
tar_77,0.6620689655172414,0.3775305140106584,0.35641640480581604,0.3442675965217144,5
tar_78,0.6600985221674877,0.3378356523140164,0.320197181354705,0.31127340034541645,5
tar_79,0.6009852216748769,0.3050830850510089,0.31782865789715103,0.3016591568062493,5
tar_80,0.6403940886699507,0.7124714120670549,0.7090986470587399,0.7097648840571082,4
tar_81,0.45911330049261084,0.36202017791922514,0.2974623985716193,0.28852272651741745,4
tar_82,0.6344827586206897,0.3764225754182361,0.3505784840656717,0.35468577377705546,4
tar_83,0.5812807881773399,0.3500067980805971,0.337059348878647,0.3374727988844496,4
tar_84,0.41083743842364534,0.3920572491295594,0.3786581720620846,0.37614922675441076,4
tar_85,0.3438423645320197,0.3413584760955021,0.3337165456081542,0.3364040889421317,4
tar_86,0.5113300492610837,0.3819776347201721,0.34566400505642425,0.3402484823610399,4
tar_87,0.541871921182266,0.318853598392886,0.2688213253446019,0.254333807829624,4
tar_88,0.39507389162561574,0.3090293980586848,0.2984160500673127,0.2877523045516627,4
tar_89,0.5448275862068965,0.25188769563769564,0.2718745992430044,0.24506969631260067,4
tar_90,0.5408866995073892,0.2988295000957389,0.27364941517353586,0.2624195317054059,4
tar_91,0.46206896551724136,0.3783087937269942,0.3734970166397573,0.36821258054554906,4
