,bitmap_01,bitmap_02,bitmap_03,bitmap_05,bitmap_07,bitmap_08,bitmap_09,bitmap_10,bitmap_11,bitmap_12,bitmap_13,bitmap_14,bitmap_15,bitmap_16,bitmap_17,bitmap_18,bitmap_19,bitmap_20,bitmap_21,bitmap_22,bitmap_23,bitmap_24,bitmap_25
tar_17,0.03503289681311548,0.1344654729085699,0.06649343655737339,0.0026385645764175633,0.08643682162925513,0.04594820432553912,0.014851097543715431,0.0004914234169913364,0.008800727103684748,0.00024266556087977268,0.012421211904399375,0.004029780446575448,0.005783323847965578,0.004528572809936897,0.021341217306377436,0.0005187713750276663,0.03226057382513422,0.024022413704563705,0.0018437134377928383,0.1263855595316177,0.010874975111170679,0.17956581415593248,0.18102276210796403
tar_18,0.009008631687205403,0.20019934880379284,0.06407078782491146,0.019464480395350016,0.04353106370029515,0.05393762102164985,0.012465809106470455,0.0005220174163112709,0.018267640262929947,0.0010488257678187961,0.0012236850590126244,0.0019264137226708505,0.0017839069326577282,0.02598075011450247,0.0031364687312352983,9.718577610221662e-06,0.00013391999071371154,0.0005001940657030096,0.07464302391034247,0.21690014597479096,0.0004323417515539141,0.2134726735494018,0.037340531633069746
tar_19,0.015019061219012678,0.19260586598183155,0.08848412200761445,0.0032001072250552134,0.06472194709138104,0.07395761017370245,0.00498906207207253,7.213410475576371e-05,0.016146036251600136,4.063624245256548e-06,0.001228730830627835,0.00014783019019780084,0.0029430436593654873,0.03487634886429751,0.0010435354811884241,4.063624245256548e-06,0.005581780221248846,0.00202285856274714,0.06648166241224483,0.1953400356451793,0.0009270680648894258,0.19416369612058695,0.03603933657191013
tar_20,0.012700327063702855,0.2070528682761657,0.0889446449952268,0.037316158332336875,0.04463702618921241,0.09367828751510557,0.0037205921151923908,0.0001675448753439452,0.001117816173431892,0.004524872616206062,3.316097855409985e-06,0.003397034137739316,0.0042350105973813215,0.026568166756034906,0.005187522754617085,0.0006437917459387742,0.001735917218654422,0.0005269871948738352,0.025921249242690698,0.15101887670659123,1.0451712029815332e-05,0.23914420303250197,0.04774733465116673
tar_21,0.03868650509250518,0.32619255532010366,0.03742813417249349,0.02253788802776266,0.12704051462321075,0.02707462496892831,0.0524927801413478,0.003894493822819656,0.00010659600025140596,0.0005464543143485345,5.090578738103689e-05,0.017197436193323153,0.0018152282988594286,0.005625097206061075,0.0010911513845409456,0.002605109518055441,0.0017850459320650162,6.683546405237502e-05,0.0012496516597244798,0.1384804903653249,0.0034204320731864996,0.06446433939766522,0.12614773023598905
tar_22,0.009265866637439366,0.2698313454056426,0.0018542472704968609,0.030201001386230233,0.027422425888155855,0.004752165330935086,0.002439189982703732,0.00043820316628536153,0.0016741162149292875,0.0022230053028779624,0.00032504122182255884,0.005474915441823753,0.005292519649882433,0.019392065325457137,0.0011876437167192325,0.020488735641976525,0.00012661331995601424,0.002566243711178563,0.0037011594210930496,0.18180351276553822,0.010547947424751337,0.21824068865518348,0.1807513471189215
tar_23,0.025854235229411528,0.4477716344590169,0.0037534782527466957,0.01980030842868948,0.10766604021896119,0.02186634998576336,0.05272548134109086,5.759320742045164e-05,1.196109401789252e-05,5.468080479188209e-06,0.00011405105467880358,0.014870633561764945,0.0018131819377214969,4.557499593885199e-05,0.00013151422291795805,0.010635938212204984,0.00013612247962180803,0.009686730866064192,0.00025896262345036615,0.1731843253457574,0.02731237268945408,0.012656067741947859,0.0696419739708797
tar_24,0.015019061219012678,0.19260586598183155,0.08848412200761445,0.0032001072250552134,0.06472194709138104,0.07395761017370245,0.00498906207207253,7.213410475576371e-05,0.016146036251600136,4.063624245256548e-06,0.001228730830627835,0.00014783019019780084,0.0029430436593654873,0.03487634886429751,0.0010435354811884241,4.063624245256548e-06,0.005581780221248846,0.00202285856274714,0.06648166241224483,0.1953400356451793,0.0009270680648894258,0.19416369612058695,0.03603933657191013
tar_25,0.004159938872910751,0.04431882608477966,0.001352274750851022,0.00956045800801913,0.02098175209627202,0.01880924610243946,0.0011054764487163403,0.0005435573511753627,0.006606450852496039,0.0008645956978540508,0.0005470649959738088,0.005594347609048696,0.005506180676301746,0.003767403689851594,0.002972782690156664,2.1376290203277767e-05,0.0007408874517397377,0.0033461201046426172,0.0003554899235303571,0.03365616715324311,0.0015895479088249397,0.04685550726049719,0.7867445479804724
tar_26,0.003475854136472952,0.04913068925639196,9.088911458812671e-05,0.0843664588116979,0.099464790408985,0.0049641561229036716,0.004502624952141446,0.0025063512975535694,0.000133371800383985,0.023789693717612036,0.0023513368835922314,0.00672079365669956,0.00048304849156316065,0.003604502000979332,0.0003368608203608997,0.009606124110153182,0.036337169028841036,0.00395405566945059,0.021522146414046983,0.1715117919530924,2.50525762455198e-05,0.08582577617577694,0.38529646260046746
